bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(5273.579, 5670.024]",5670.023882650948,5670.023882650948,3,"(('bin_equal_frequency_5', 'education'), ('norm_log', 'gender'), ('bin_equal_width_2', 'Age'))",1
"(5670.024, 6066.469]",5670.023882656827,6026.194872234586,2,"(('bin_equal_frequency_2', 'education'), ('bin_equal_width_2', 'Age'))",86
"(6066.469, 6462.914]",6097.665364172309,6459.633768739974,1,"(('bin_equal_width_2', 'Age'),)",73
"(6462.914, 6859.359]",6488.19609044209,6841.079964074954,1,"(('bin_equal_frequency_2', 'Age'),)",114
"(6859.359, 7255.805]",6904.793656449054,7225.61724462415,2,"(('bin_equal_frequency_5', 'education'), ('bin_equal_frequency_5', 'Age'))",45
"(7255.805, 7652.25]",7285.490161400811,7625.1739013805,2,"(('bin_equal_frequency_2', 'education'), ('bin_equal_frequency_5', 'Age'))",128
"(7652.25, 8048.695]",7656.157241251718,8046.893100716336,1,"(('bin_equal_frequency_5', 'Age'),)",247
"(8048.695, 8445.14]",8052.6076747815605,8444.470912154782,1,"(('bin_equal_frequency_2', 'education'),)",710
"(8445.14, 8841.585]",8446.614491533419,8838.279789164926,0,(),695
"(8841.585, 9238.03]",8853.374432009143,9236.652250127989,1,"(('bin_equal_width_5', 'education'),)",211
"(9238.03, 9634.475]",9244.470757465491,9631.659947903416,2,"(('bin_equal_width_2', 'education'), ('bin_equal_frequency_2', 'Age'))",71
"(9634.475, 10030.921]",9644.870676439026,10023.556751760118,2,"(('bin_equal_width_5', 'education'), ('norm_log', 'education'))",68
"(10030.921, 10427.366]",10043.387853771337,10415.718568896651,1,"(('norm_log', 'education'),)",161
"(10427.366, 10823.811]",10429.791839208676,10818.35977853585,2,"(('bin_equal_width_2', 'education'), ('bin_equal_frequency_10', 'Age'))",78
"(10823.811, 11220.256]",10900.105695227521,11210.79807940971,2,"(('bin_equal_frequency_2', 'education'), ('drop_duplicates', 'education'))",86
"(11220.256, 11616.701]",11225.555544204393,11581.439262171174,1,"(('bin_equal_width_2', 'education'),)",163
"(11616.701, 12013.146]",11629.695370230407,11967.350787464613,2,"(('bin_equal_width_5', 'education'), ('drop_duplicates', 'education'))",49
"(12013.146, 12409.592]",12013.717638933662,12392.010589023064,3,"(('bin_equal_frequency_5', 'education'), ('drop_duplicates', 'education'), ('bin_equal_width_2', 'Age'))",15
"(12409.592, 12806.037]",12427.203858025467,12780.532129721107,2,"(('bin_equal_width_2', 'education'), ('drop_duplicates', 'education'))",32
"(12806.037, 13202.482]",12806.219765770966,13199.745838413059,2,"(('bin_equal_frequency_5', 'education'), ('drop_duplicates', 'education'))",35
"(13202.482, 13598.927]",13210.785169823814,13585.860522419563,2,"(('bin_equal_width_10', 'education'), ('drop_duplicates', 'education'))",53
"(13598.927, 13995.372]",13607.453378207432,13990.705860155422,2,"(('drop_duplicates', 'education'), ('bin_equal_width_2', 'Age'))",22
"(13995.372, 14391.817]",14019.385061958876,14391.692820248316,2,"(('isolationForest', 'education'), ('bin_equal_frequency_2', 'education'))",37
"(14391.817, 14788.262]",14424.50024117996,14783.341672795308,1,"(('isolationForest', 'education'),)",188
"(14788.262, 15184.708]",14823.502276344707,15169.94836623697,1,"(('drop_duplicates', 'education'),)",153
"(15184.708, 15581.153]",15189.409496402008,15567.446697565092,2,"(('isolationForest', 'education'), ('drop_duplicates', 'education'))",47
"(15581.153, 15977.598]",15598.883578129162,15974.666126742159,2,"(('zscore_clip_3', 'education'), ('isolationForest', 'education'))",53
"(15977.598, 16374.043]",15991.36665227387,16372.163469495137,2,"(('bin_equal_frequency_2', 'education'), ('isolationForest', 'education'))",81
"(16374.043, 16770.488]",16374.135115790694,16767.211516808893,2,"(('IQR', 'education'), ('isolationForest', 'education'))",52
"(16770.488, 17166.933]",16781.090183584674,17138.981627856047,2,"(('drop_duplicates', 'education'), ('bin_equal_width_2', 'education'))",30
"(17166.933, 17563.379]",17227.03383503533,17514.796098864113,3,"(('bin_equal_frequency_5', 'education'), ('bin_equal_frequency_5', 'Age'), ('isolationForest', 'education'))",14
"(17563.379, 17959.824]",17579.081839652554,17938.83791521263,3,"(('bin_equal_frequency_2', 'education'), ('bin_equal_width_10', 'Age'), ('isolationForest', 'education'))",10
"(17959.824, 18356.269]",18007.96176091861,18347.485216109242,3,"(('bin_equal_frequency_5', 'education'), ('norm_log', 'education'), ('isolationForest', 'education'))",4
"(18356.269, 18752.714]",18361.915264161125,18717.974269241062,19,"(('zscore_filter_3', 'medicare for people 65 and older'), ('drop_duplicates', 'education'), ('IQR', 'insurance through employer'), ('bin_equal_width_10', 'Age'), ('bin_equal_width_5', 'Public health coverage'), ('isolationForest', 'gender'), ('norm_log', 'Age'), ('winsorize', 'private health coverage'), ('winsorize', 'Age'), ('bin_equal_width_2', 'private health coverage'), ('bin_equal_width_5', 'gender'), ('bin_equal_frequency_2', 'insurance through employer'), ('winsorize', 'medicare for people 65 and older'), ('IQR', 'medicare for people 65 and older'), ('norm_log', 'gender'), ('IQR', 'Public health coverage'), ('norm_log', 'insurance through employer'), ('zscore_filter_3', 'Public health coverage'), ('bin_equal_width_2', 'education'))",2
"(18752.714, 19149.159]",18765.95665386394,19006.778362675035,13,"(('norm_log', 'Age'), ('zscore_clip_3', 'gender'), ('drop_duplicates', 'Age'), ('bin_equal_width_5', 'education'), ('isolationForest', 'medicare for people 65 and older'), ('norm_log', 'gender'), ('bin_equal_frequency_10', 'medicare for people 65 and older'), ('norm_log', 'education'), ('bin_equal_width_10', 'private health coverage'), ('bin_equal_frequency_10', 'Public health coverage'), ('winsorize', 'insurance through employer'), ('norm_min_max', 'private health coverage'), ('bin_equal_width_5', 'gender'))",3
"(19545.604, 19942.05]",19604.997057762375,19769.22483836362,3,"(('bin_equal_width_2', 'education'), ('norm_log', 'Age'), ('isolationForest', 'education'))",2
"(20338.495, 20734.94]",20362.80867474202,20689.35439036865,3,"(('bin_equal_width_2', 'education'), ('bin_equal_width_10', 'Age'), ('isolationForest', 'education'))",5
