bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(3.8891, 3.8894]",3.8894029577622127,3.8894029577622127,4,"(('bin_equal_frequency_2', 'x1'), ('bin_equal_width_5', 'x2'), ('zscore_clip_3', 'x5'), ('IQR', 'x5'))",1
"(3.8902, 3.8905]",3.890286241916801,3.890288760271814,3,"(('IQR', 'x2'), ('zscore_clip_3', 'x5'), ('IQR', 'x5'))",2
"(3.8921, 3.8924]",3.892324032894313,3.8923718776089187,3,"(('zscore_clip_3', 'x5'), ('IQR', 'x5'), ('IQR', 'x2'))",2
"(3.8924, 3.8927]",3.8924882891275767,3.8924882891275767,3,"(('bin_equal_frequency_2', 'x4'), ('zscore_clip_3', 'x5'), ('IQR', 'x5'))",1
"(3.8938, 3.8941]",3.894009010512633,3.894009010512633,3,"(('zscore_clip_3', 'x5'), ('IQR', 'x5'), ('bin_equal_width_2', 'x5'))",1
"(3.8941, 3.8943]",3.8941601679437627,3.8941601679437627,3,"(('bin_equal_width_5', 'x2'), ('zscore_clip_3', 'x5'), ('IQR', 'x5'))",1
"(3.8943, 3.8946]",3.8944973600102233,3.8944973600102233,3,"(('bin_equal_width_5', 'x1'), ('zscore_clip_3', 'x5'), ('IQR', 'x5'))",1
"(3.8954, 3.8957]",3.895527671408201,3.895527671408201,3,"(('zscore_clip_3', 'x5'), ('IQR', 'x5'), ('norm_log', 'x6'))",1
"(3.8957, 3.896]",3.895863511078771,3.8959786325735273,3,"(('zscore_clip_3', 'x5'), ('IQR', 'x5'), ('bin_equal_frequency_2', 'x5'))",2
"(3.8963, 3.8965]",3.8963115801442845,3.8964103782317885,3,"(('norm_log', 'x4'), ('zscore_clip_3', 'x5'), ('IQR', 'x5'))",2
"(3.8968, 3.8971]",3.896947684715838,3.896965333436848,3,"(('bin_equal_width_10', 'x2'), ('zscore_clip_3', 'x5'), ('IQR', 'x5'))",2
"(3.8971, 3.8974]",3.8972096096323554,3.897309142249695,3,"(('bin_equal_width_10', 'x3'), ('zscore_clip_3', 'x5'), ('IQR', 'x5'))",3
"(3.8974, 3.8976]",3.897438245075797,3.8974837113213225,3,"(('zscore_filter_3', 'x2'), ('zscore_clip_3', 'x5'), ('IQR', 'x5'))",3
"(3.8976, 3.8979]",3.8976598538922866,3.897866536207474,2,"(('zscore_clip_3', 'x5'), ('IQR', 'x5'))",63
"(3.8979, 3.8982]",3.898002142555597,3.8981415825890844,3,"(('winsorize', 'x1'), ('zscore_clip_3', 'x5'), ('IQR', 'x5'))",3
