bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(-29.78, -25.079]",-29.78031122296866,-29.78031122296866,5,"(('zscore_clip_3', 'age'), ('bin_equal_frequency_10', 'age'), ('zscore_filter_3', 'education'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'age'))",1
"(346.29, 350.991]",350.88202765402735,350.88202765402735,5,"(('norm_log', 'age'), ('zscore_clip_3', 'age'), ('bin_equal_frequency_10', 'age'), ('bin_equal_width_2', 'education'), ('isolationForest', 'age'))",1
"(383.897, 388.598]",388.3340614065605,388.3340614065605,5,"(('zscore_clip_3', 'age'), ('bin_equal_frequency_10', 'age'), ('IQR', 'education'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'age'))",1
"(388.598, 393.299]",390.0781945705228,390.0781945705354,4,"(('bin_equal_frequency_10', 'age'), ('zscore_filter_3', 'education'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'age'))",8
"(393.299, 398.0]",393.52566968012803,393.52566968012803,5,"(('bin_equal_frequency_10', 'age'), ('zscore_filter_3', 'education'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'age'), ('norm_log', 'age'))",1
"(398.0, 402.701]",400.66578680578283,401.1740702495425,4,"(('zscore_clip_3', 'age'), ('bin_equal_frequency_10', 'age'), ('bin_equal_width_2', 'education'), ('isolationForest', 'age'))",8
"(407.401, 412.102]",407.42626670672314,407.42626670672314,5,"(('zscore_filter_3', 'age'), ('bin_equal_frequency_10', 'age'), ('IQR', 'education'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'age'))",1
"(477.915, 482.615]",482.6066170305152,482.6066170305152,5,"(('bin_equal_frequency_10', 'age'), ('zscore_clip_3', 'education'), ('winsorize', 'education'), ('bin_equal_width_2', 'education'), ('isolationForest', 'age'))",1
"(487.316, 492.017]",491.0811975737566,491.0811975737566,5,"(('zscore_filter_3', 'age'), ('bin_equal_frequency_10', 'age'), ('IQR', 'education'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",1
"(492.017, 496.718]",494.8040154137062,495.63588813881955,5,"(('bin_equal_frequency_2', 'age'), ('zscore_clip_3', 'education'), ('IQR', 'education'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'age'))",2
"(510.821, 515.522]",512.4642412226635,512.4642412226635,5,"(('zscore_clip_3', 'age'), ('zscore_filter_3', 'education'), ('bin_equal_frequency_10', 'age'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",1
"(515.522, 520.222]",515.7633461899023,517.655510803805,4,"(('bin_equal_frequency_2', 'age'), ('IQR', 'education'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'age'))",19
"(534.325, 539.026]",537.8606450017325,537.8606450017325,5,"(('zscore_filter_3', 'age'), ('bin_equal_frequency_2', 'age'), ('IQR', 'education'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'age'))",1
"(539.026, 543.727]",542.4834415234891,543.6785582526026,5,"(('bin_equal_frequency_2', 'age'), ('norm_log', 'education'), ('IQR', 'education'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",2
"(543.727, 548.428]",545.9125219264876,545.9125219264911,4,"(('bin_equal_frequency_2', 'age'), ('IQR', 'education'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",9
"(548.428, 553.129]",552.978774388143,552.978774388143,5,"(('bin_equal_frequency_2', 'age'), ('IQR', 'education'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'), ('norm_log', 'education'))",1
"(562.53, 567.231]",564.8762980734674,564.9035885067701,5,"(('zscore_clip_3', 'age'), ('IQR', 'education'), ('bin_equal_frequency_5', 'age'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'age'))",2
"(571.932, 576.633]",573.9979371473258,573.9979371473258,5,"(('zscore_clip_3', 'age'), ('bin_equal_frequency_5', 'age'), ('zscore_clip_3', 'education'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'age'))",1
"(581.334, 586.035]",583.8239929167088,583.8239929167088,4,"(('IQR', 'education'), ('bin_equal_frequency_5', 'age'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'age'))",1
"(595.437, 600.137]",596.1337529915919,596.1337529915919,5,"(('zscore_clip_3', 'age'), ('bin_equal_frequency_10', 'age'), ('bin_equal_frequency_5', 'education'), ('norm_log', 'education'), ('isolationForest', 'age'))",1
"(600.137, 604.838]",600.9689162856885,604.560278550798,5,"(('bin_equal_frequency_10', 'age'), ('norm_log', 'education'), ('zscore_clip_3', 'education'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",2
"(604.838, 609.539]",605.716052583491,605.8703329198039,4,"(('bin_equal_frequency_10', 'age'), ('bin_equal_width_2', 'education'), ('isolationForest', 'age'), ('norm_log', 'age'))",7
"(609.539, 614.24]",611.2661101796709,613.9325124337903,4,"(('zscore_clip_3', 'age'), ('bin_equal_frequency_5', 'age'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'age'))",12
