bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(-0.026825, -0.026824]",-0.02682358043490252,-0.02682358043490252,3,"(('zscore_filter_3', 'adequacy'), ('zscore_filter_3', 'dtotord_min'), ('IQR', 'meduc6'))",1
"(-0.026664, -0.026662]",-0.026663043456645306,-0.026663043456645306,3,"(('zscore_filter_3', 'adequacy'), ('zscore_filter_3', 'dtotord_min'), ('zscore_filter_3', 'orfath'))",1
"(-0.026567, -0.026565]",-0.026566287616203086,-0.026566287616203086,3,"(('zscore_filter_3', 'adequacy'), ('zscore_filter_3', 'dtotord_min'), ('IQR', 'feduc6'))",1
"(-0.026541, -0.02654]",-0.026540030889087112,-0.026540030889087112,3,"(('zscore_filter_3', 'adequacy'), ('zscore_filter_3', 'dtotord_min'), ('zscore_filter_3', 'ormoth'))",1
"(-0.026494, -0.026492]",-0.02649270996290433,-0.02649270996290433,3,"(('zscore_filter_3', 'adequacy'), ('zscore_filter_3', 'dtotord_min'), ('zscore_filter_3', 'mrace'))",1
"(-0.026481, -0.02648]",-0.02648022632485429,-0.02648022632485429,3,"(('zscore_filter_3', 'adequacy'), ('zscore_filter_3', 'crace'), ('zscore_filter_3', 'dtotord_min'))",1
"(-0.026459, -0.026458]",-0.026458020372981127,-0.026458020372981127,3,"(('zscore_filter_3', 'adequacy'), ('zscore_filter_3', 'birattnd'), ('zscore_filter_3', 'dtotord_min'))",1
"(-0.026448, -0.026446]",-0.02644660905696491,-0.02644660905696491,3,"(('zscore_filter_3', 'adequacy'), ('IQR', 'meduc6'), ('zscore_filter_3', 'mrace'))",1
"(-0.026435, -0.026433]",-0.026434293003308573,-0.026434293003308573,3,"(('zscore_filter_3', 'adequacy'), ('zscore_filter_3', 'crace'), ('IQR', 'meduc6'))",1
"(-0.026425, -0.026423]",-0.02642430012090248,-0.02642429844363526,2,"(('zscore_filter_3', 'dtotord_min'), ('zscore_filter_3', 'orfath'))",7
"(-0.026372, -0.026371]",-0.026371947011096034,-0.026371947011096034,3,"(('zscore_filter_3', 'adequacy'), ('IQR', 'meduc6'), ('zscore_filter_3', 'orfath'))",1
"(-0.026332, -0.026331]",-0.02633156085951886,-0.02633156032762345,2,"(('bin_equal_width_2', 'drink5'), ('isolationForest', 'adequacy'))",4
"(-0.026326, -0.026325]",-0.026326022504597132,-0.026326022504597132,3,"(('zscore_filter_3', 'adequacy'), ('zscore_filter_3', 'cigar6'), ('zscore_filter_3', 'dtotord_min'))",1
"(-0.026322, -0.026321]",-0.026321597598578265,-0.026321597598578265,3,"(('zscore_filter_3', 'adequacy'), ('IQR', 'feduc6'), ('zscore_filter_3', 'orfath'))",1
"(-0.026289, -0.026288]",-0.026288131256259655,-0.026288131256259655,3,"(('zscore_filter_3', 'adequacy'), ('zscore_filter_3', 'mrace'), ('zscore_filter_3', 'orfath'))",1
"(-0.026281, -0.02628]",-0.02628102504724447,-0.026281023846509415,2,"(('zscore_filter_3', 'dtotord_min'), ('zscore_filter_3', 'ormoth'))",7
"(-0.026277, -0.026276]",-0.02627630266352717,-0.02627630266352717,3,"(('zscore_filter_3', 'adequacy'), ('zscore_filter_3', 'crace'), ('zscore_filter_3', 'orfath'))",1
"(-0.026254, -0.026253]",-0.026254223908757687,-0.026254223908757687,3,"(('zscore_filter_3', 'adequacy'), ('IQR', 'meduc6'), ('zscore_filter_3', 'ormoth'))",1
"(-0.026226, -0.026225]",-0.02622545696806386,-0.026225388263647793,2,"(('zscore_filter_3', 'adequacy'), ('zscore_filter_3', 'dtotord_min'))",236
"(-0.026225, -0.026224]",-0.026223861074674303,-0.026223861074674303,3,"(('zscore_filter_3', 'adequacy'), ('zscore_filter_3', 'dtotord_min'), ('bin_equal_frequency_5', 'infant_id'))",1
"(-0.026216, -0.026215]",-0.02621569133615224,-0.02621569133615224,3,"(('zscore_filter_3', 'adequacy'), ('zscore_filter_3', 'dtotord_min'), ('bin_equal_frequency_10', 'infant_id'))",1
"(-0.026188, -0.026187]",-0.02618726960451106,-0.026187267417392968,2,"(('zscore_filter_3', 'dtotord_min'), ('IQR', 'meduc6'))",7
"(-0.026166, -0.026165]",-0.026166107821371746,-0.026166107821371746,3,"(('zscore_filter_3', 'adequacy'), ('zscore_filter_3', 'mrace'), ('zscore_filter_3', 'ormoth'))",1
"(-0.026161, -0.02616]",-0.026160833763583313,-0.026160833076521586,2,"(('zscore_filter_3', 'crace'), ('isolationForest', 'adequacy'))",5
"(-0.026147, -0.026146]",-0.026145956716823134,-0.026145956716823134,3,"(('zscore_filter_3', 'adequacy'), ('zscore_filter_3', 'crace'), ('zscore_filter_3', 'ormoth'))",1
"(-0.026124, -0.026123]",-0.02612346988321542,-0.02612346982583533,3,"(('zscore_filter_3', 'adequacy'), ('norm_log', 'ormoth'), ('zscore_filter_3', 'ormoth'))",2
"(-0.026119, -0.026118]",-0.026118332883961606,-0.026118332883961606,3,"(('isolationForest', 'adequacy'), ('zscore_filter_3', 'crace'), ('zscore_filter_3', 'ormoth'))",1
"(-0.026087, -0.026086]",-0.026086347678143062,-0.026086347678143062,3,"(('zscore_filter_3', 'adequacy'), ('zscore_filter_3', 'dtotord_min'), ('zscore_filter_3', 'gestat10'))",1
"(-0.026086, -0.026084]",-0.026084778412830578,-0.026084778412830578,3,"(('isolationForest', 'adequacy'), ('zscore_filter_3', 'mrace'), ('zscore_filter_3', 'ormoth'))",1
"(-0.026077, -0.026075]",-0.026075755882919428,-0.026075755882919428,3,"(('zscore_filter_3', 'adequacy'), ('zscore_filter_3', 'birattnd'), ('zscore_filter_3', 'mrace'))",1
"(-0.026072, -0.02607]",-0.02607143215039529,-0.02607143215039529,3,"(('zscore_filter_3', 'adequacy'), ('zscore_filter_3', 'orfath'), ('zscore_filter_3', 'ormoth'))",1
"(-0.026064, -0.026063]",-0.026063357927750563,-0.026063357927750563,3,"(('zscore_filter_3', 'adequacy'), ('zscore_filter_3', 'birattnd'), ('zscore_filter_3', 'crace'))",1
"(-0.026046, -0.026045]",-0.026045637103694824,-0.026045635612298293,2,"(('zscore_filter_3', 'dtotord_min'), ('zscore_filter_3', 'mrace'))",7
"(-0.026042, -0.026041]",-0.0260420491609774,-0.0260420491609774,3,"(('zscore_filter_3', 'adequacy'), ('zscore_filter_3', 'frace'), ('zscore_filter_3', 'mrace'))",1
"(-0.026031, -0.026029]",-0.02603054494511245,-0.02603054494511245,3,"(('zscore_filter_3', 'adequacy'), ('zscore_filter_3', 'crace'), ('zscore_filter_3', 'mrace'))",1
"(-0.026027, -0.026025]",-0.026026027519358133,-0.02602602554182436,2,"(('zscore_filter_3', 'crace'), ('zscore_filter_3', 'dtotord_min'))",8
"(-0.026023, -0.026022]",-0.026022645243524902,-0.026022645243524902,3,"(('zscore_filter_3', 'adequacy'), ('bin_equal_width_10', 'dtotord_min'), ('zscore_filter_3', 'dtotord_min'))",1
"(-0.026013, -0.026011]",-0.026012301373414638,-0.026012301373414638,3,"(('zscore_filter_3', 'adequacy'), ('zscore_filter_3', 'birattnd'), ('zscore_filter_3', 'orfath'))",1
"(-0.026001, -0.026]",-0.026000456245665406,-0.026000456245665406,3,"(('isolationForest', 'adequacy'), ('zscore_filter_3', 'crace'), ('IQR', 'meduc6'))",1
