bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(15690.589, 15865.781]",15865.78131513107,15865.78131513107,19,"(('IQR', 'waterfront'), ('isolationForest', 'sqft_above'), ('drop_duplicates', 'sqft_lot'), ('IQR', 'sqft_lot15'), ('bin_equal_width_5', 'sqft_living15'), ('IQR', 'bathrooms'), ('winsorize', 'sqft_living15'), ('bin_equal_width_5', 'sqft_above'), ('norm_log', 'bathrooms'), ('IQR', 'floors'), ('zscore_filter_3', 'sqft_lot15'), ('bin_equal_width_2', 'sqft_lot15'), ('bin_equal_frequency_10', 'yr_built'), ('bin_equal_width_5', 'grade'), ('bin_equal_width_5', 'condition'), ('bin_equal_frequency_10', 'bathrooms'), ('IQR', 'sqft_living'), ('zscore_clip_3', 'sqft_above'), ('bin_equal_frequency_10', 'floors'))",1
"(16391.358, 16566.55]",16399.378364507378,16399.378364507378,20,"(('winsorize', 'yr_renovated'), ('bin_equal_frequency_2', 'sqft_above'), ('bin_equal_frequency_2', 'sqft_lot15'), ('zscore_clip_3', 'grade'), ('norm_log', 'sqft_lot'), ('zscore_filter_3', 'sqft_above'), ('bin_equal_frequency_5', 'floors'), ('bin_equal_frequency_10', 'waterfront'), ('norm_log', 'waterfront'), ('bin_equal_width_5', 'bedrooms'), ('winsorize', 'waterfront'), ('bin_equal_width_5', 'sqft_living15'), ('IQR', 'sqft_basement'), ('isolationForest', 'yr_built'), ('IQR', 'sqft_living'), ('zscore_filter_3', 'sqft_lot'), ('zscore_clip_3', 'sqft_living15'), ('zscore_clip_3', 'sqft_lot15'), ('zscore_filter_3', 'bedrooms'), ('winsorize', 'sqft_basement'))",1
"(17968.087, 18143.279]",18124.224691893935,18124.224691893935,23,"(('norm_min_max', 'sqft_living'), ('winsorize', 'sqft_lot'), ('bin_equal_width_10', 'bedrooms'), ('bin_equal_frequency_2', 'bathrooms'), ('winsorize', 'view'), ('IQR', 'bedrooms'), ('isolationForest', 'sqft_basement'), ('bin_equal_width_5', 'grade'), ('zscore_filter_3', 'sqft_above'), ('zscore_clip_3', 'condition'), ('bin_equal_width_10', 'sqft_living15'), ('bin_equal_frequency_2', 'floors'), ('bin_equal_width_10', 'waterfront'), ('winsorize', 'sqft_basement'), ('norm_log', 'view'), ('norm_min_max', 'sqft_living15'), ('bin_equal_width_10', 'sqft_lot'), ('winsorize', 'sqft_living15'), ('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_10', 'sqft_basement'), ('IQR', 'sqft_basement'), ('zscore_filter_3', 'yr_built'), ('norm_min_max', 'grade'))",1
"(19544.816, 19720.008]",19568.076051719676,19568.076051719676,10,"(('bin_equal_frequency_5', 'sqft_living15'), ('zscore_clip_3', 'yr_renovated'), ('bin_equal_frequency_2', 'sqft_lot15'), ('zscore_clip_3', 'bedrooms'), ('norm_min_max', 'sqft_lot15'), ('bin_equal_frequency_10', 'bathrooms'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_5', 'yr_built'), ('isolationForest', 'yr_built'), ('norm_log', 'sqft_living15'))",1
"(21647.121, 21822.313]",21649.13008941246,21804.60570651495,22,"(('zscore_clip_3', 'view'), ('bin_equal_width_2', 'yr_renovated'), ('bin_equal_width_10', 'waterfront'), ('bin_equal_width_10', 'condition'), ('bin_equal_width_10', 'bathrooms'), ('bin_equal_width_10', 'view'), ('bin_equal_width_5', 'sqft_lot'), ('drop_duplicates', 'bedrooms'), ('isolationForest', 'sqft_living'), ('bin_equal_width_5', 'grade'), ('IQR', 'sqft_lot15'), ('zscore_filter_3', 'bedrooms'), ('winsorize', 'bathrooms'), ('bin_equal_width_5', 'sqft_lot15'), ('IQR', 'sqft_lot'), ('winsorize', 'floors'), ('IQR', 'floors'), ('bin_equal_frequency_2', 'sqft_living'), ('norm_min_max', 'bathrooms'), ('bin_equal_width_2', 'bedrooms'), ('zscore_filter_3', 'sqft_lot'), ('norm_log', 'sqft_above'))",2
"(21997.505, 22172.698]",22064.624458447724,22064.624458447724,24,"(('IQR', 'yr_built'), ('IQR', 'sqft_lot15'), ('bin_equal_width_10', 'sqft_above'), ('IQR', 'bedrooms'), ('drop_duplicates', 'waterfront'), ('isolationForest', 'sqft_lot15'), ('IQR', 'sqft_basement'), ('norm_log', 'yr_built'), ('norm_min_max', 'sqft_basement'), ('bin_equal_width_10', 'sqft_living15'), ('bin_equal_width_10', 'sqft_living'), ('norm_log', 'sqft_living15'), ('bin_equal_frequency_10', 'bedrooms'), ('zscore_filter_3', 'yr_built'), ('IQR', 'floors'), ('bin_equal_frequency_10', 'sqft_lot'), ('zscore_filter_3', 'sqft_above'), ('norm_log', 'grade'), ('bin_equal_frequency_2', 'sqft_basement'), ('winsorize', 'yr_built'), ('bin_equal_width_5', 'condition'), ('bin_equal_frequency_10', 'floors'), ('bin_equal_width_2', 'yr_built'), ('bin_equal_width_5', 'waterfront'))",1
"(22172.698, 22347.89]",22190.088231162237,22190.088231162237,3,"(('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_2', 'yr_built'))",1
"(22698.274, 22873.466]",22843.24846355617,22843.24846355617,19,"(('winsorize', 'waterfront'), ('bin_equal_frequency_10', 'sqft_living'), ('drop_duplicates', 'sqft_lot'), ('norm_log', 'sqft_lot15'), ('bin_equal_frequency_2', 'bedrooms'), ('IQR', 'sqft_living15'), ('bin_equal_frequency_2', 'floors'), ('IQR', 'sqft_basement'), ('bin_equal_width_10', 'sqft_above'), ('bin_equal_frequency_2', 'condition'), ('winsorize', 'yr_built'), ('isolationForest', 'sqft_lot15'), ('norm_log', 'sqft_living'), ('bin_equal_frequency_5', 'yr_built'), ('norm_log', 'condition'), ('norm_log', 'floors'), ('winsorize', 'yr_renovated'), ('zscore_filter_3', 'condition'), ('IQR', 'sqft_above'))",1
"(22873.466, 23048.658]",22937.35733437246,22937.35733437246,22,"(('drop_duplicates', 'waterfront'), ('zscore_filter_3', 'sqft_lot'), ('bin_equal_frequency_10', 'yr_renovated'), ('winsorize', 'waterfront'), ('zscore_filter_3', 'view'), ('norm_log', 'grade'), ('bin_equal_width_5', 'grade'), ('IQR', 'bedrooms'), ('bin_equal_frequency_2', 'sqft_lot15'), ('winsorize', 'yr_renovated'), ('bin_equal_width_2', 'sqft_above'), ('norm_log', 'condition'), ('bin_equal_width_5', 'condition'), ('norm_min_max', 'yr_renovated'), ('bin_equal_width_2', 'sqft_living15'), ('bin_equal_frequency_10', 'bathrooms'), ('norm_min_max', 'sqft_living15'), ('bin_equal_frequency_5', 'sqft_basement'), ('zscore_clip_3', 'sqft_above'), ('winsorize', 'sqft_lot'), ('norm_min_max', 'bedrooms'), ('IQR', 'yr_built'))",1
"(23399.042, 23574.234]",23564.731696464754,23564.731696464754,3,"(('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_5', 'yr_built'))",1
