list,size
"['norm_log', 'norm_log', 'norm_log', 'norm_log', 'norm_log', 'norm_log', 'norm_log', 'norm_log', 'norm_log', 'norm_log']",10
['norm_min_max'],1
['norm_min_max'],1
['norm_min_max'],1
['norm_min_max'],1
['norm_min_max'],1
['norm_min_max'],1
"['norm_min_max', 'norm_min_max']",2
['norm_log'],1
['norm_min_max'],1
"['zscore', 'zscore']",2
"['norm_log', 'bin_equal_frequency_10']",2
['norm_min_max'],1
['norm_min_max'],1
"['norm_log', 'norm_log', 'norm_log']",3
['norm_min_max'],1
['norm_min_max'],1
['norm_min_max'],1
"['norm_min_max', 'zscore', 'IQR']",3
['norm_min_max'],1
['norm_min_max'],1
['norm_min_max'],1
['bin_equal_width_5'],1
"['norm_log', 'norm_min_max']",2
"['isolationForest', 'isolationForest']",2
"['norm_min_max', 'norm_log']",2
['norm_min_max'],1
['norm_min_max'],1
['norm_min_max'],1
['IQR'],1
['norm_min_max'],1
['norm_min_max'],1
"['zscore', 'norm_min_max']",2
['norm_min_max'],1
"['norm_min_max', 'norm_min_max']",2
['norm_log'],1
['IQR'],1
"['norm_min_max', 'norm_min_max', 'norm_min_max', 'norm_min_max', 'norm_min_max', 'norm_min_max', 'norm_min_max', 'norm_min_max', 'norm_min_max', 'norm_min_max', 'norm_min_max', 'norm_min_max', 'norm_min_max', 'norm_min_max', 'norm_min_max', 'norm_min_max']",16
['norm_min_max'],1
['norm_min_max'],1
['norm_min_max'],1
['norm_min_max'],1
['norm_min_max'],1
['norm_min_max'],1
"['norm_log', 'norm_min_max']",2
['norm_log'],1
['norm_min_max'],1
['norm_min_max'],1
"['norm_log', 'norm_log', 'norm_log', 'norm_log', 'norm_log', 'norm_log']",6
['IQR'],1
['bin_equal_frequency_10'],1
['norm_min_max'],1
"['norm_min_max', 'norm_min_max']",2
['norm_log'],1
['norm_min_max'],1
"['norm_min_max', 'norm_min_max']",2
['norm_min_max'],1
['bin_equal_frequency_5'],1
['norm_min_max'],1
"['norm_min_max', 'norm_min_max']",2
"['norm_min_max', 'norm_min_max']",2
['zscore'],1
['norm_min_max'],1
['norm_min_max'],1
