treatment,outcome,bathrooms,bedrooms,condition,floors,grade,sqft_above,sqft_basement,sqft_living,sqft_living15,sqft_lot,sqft_lot15,view,waterfront,yr_built,yr_renovated
0,221900,1.0,3,3,1.0,7,1180,0,1180,1340,5650,5650,0,0,1955,0
0,510000,2.0,3,3,1.0,8,1680,0,1680,1800,8080,7503,0,0,1987,0
0,257500,2.25,3,3,2.0,7,1715,0,1715,2238,6819,6819,0,0,1995,0
0,323000,2.5,3,3,2.0,7,1890,0,1890,2390,6560,7570,0,0,2003,0
0,662500,2.5,3,3,1.0,8,1860,1700,3560,2210,9796,8925,0,0,1965,0
0,400000,1.75,3,4,1.0,7,1370,0,1370,1370,9680,10208,0,0,1977,0
0,189000,1.0,2,4,1.0,7,1200,0,1200,1060,9850,5095,0,0,1921,0
0,230000,1.0,3,4,1.0,7,1250,0,1250,1280,9774,8850,0,0,1969,0
0,2000000,2.75,3,3,1.0,9,2330,720,3050,4110,44867,20336,4,0,1968,0
0,285000,2.5,5,3,2.0,8,2270,0,2270,2240,6300,7005,0,0,1995,0
0,252700,1.5,2,3,1.0,7,1070,0,1070,1220,9643,8386,0,0,1985,0
0,329000,2.25,3,4,2.0,8,2450,0,2450,2200,6500,6865,0,0,1985,0
0,233000,2.0,3,5,1.5,6,1710,0,1710,1030,4697,4705,0,0,1941,0
0,322500,2.75,4,3,1.0,7,1280,780,2060,2020,6659,8720,0,0,1981,0
0,550000,1.0,4,1,1.0,5,930,730,1660,2160,34848,11467,0,0,1933,0
0,240000,1.0,4,2,1.0,7,890,330,1220,1290,8075,7800,0,0,1969,0
0,605000,2.5,4,3,2.0,8,2620,0,2620,2620,7553,11884,0,0,1996,0
0,309000,1.0,3,4,1.0,6,920,360,1280,1340,9656,8808,0,0,1959,0
0,210490,1.0,3,3,1.0,6,990,0,990,1228,8528,8840,0,0,1966,0
0,785000,2.5,4,4,2.0,9,2290,0,2290,2680,13416,13685,0,0,1981,0
0,345000,2.5,5,4,1.0,8,1640,1510,3150,1990,9134,9133,0,0,1966,0
1,292500,2.5,4,3,2.0,7,2250,0,2250,2250,4495,4500,0,0,2008,0
0,301000,2.5,3,3,2.0,8,2420,0,2420,2690,4750,4750,0,0,2003,0
0,951000,3.25,5,4,2.0,8,3250,0,3250,2960,14342,11044,4,0,1968,0
0,430000,3.0,4,3,2.0,8,1850,0,1850,2270,9976,8542,0,0,1991,0
0,975000,2.5,4,3,2.0,10,2720,0,2720,2750,11049,11049,0,0,1989,0
0,287000,2.5,4,3,2.0,7,2240,0,2240,2221,4648,4557,0,0,2005,0
1,204000,1.0,3,4,1.0,7,1000,0,1000,1010,12070,12635,0,0,1968,0
0,1325000,2.25,5,3,1.0,8,1600,1600,3200,3390,20158,20158,0,0,1965,0
0,1040000,3.25,5,4,1.0,11,3070,1700,4770,3530,50094,38917,0,0,1973,0
0,360000,2.5,4,3,2.0,8,2380,0,2380,2420,5000,5000,0,0,2005,0
0,349000,1.75,3,5,1.0,7,1090,700,1790,1940,50529,50529,0,0,1965,0
0,380000,1.75,4,3,1.0,7,880,880,1760,1680,7300,7500,0,0,1956,0
0,720000,2.5,4,3,2.0,10,3450,0,3450,3350,39683,39750,0,0,2002,0
0,390000,2.5,3,3,2.0,8,2350,0,2350,2350,5100,5363,0,0,2003,0
0,360000,2.5,4,3,2.0,7,1900,0,1900,1870,5889,6405,0,0,1992,0
0,356000,1.5,3,3,1.0,8,1680,0,1680,1850,8712,8797,0,0,1964,0
0,305000,2.25,5,5,1.5,7,2660,0,2660,1590,8400,8165,0,0,1961,0
0,461000,3.25,3,3,2.0,9,1980,790,2770,1900,6278,7349,0,0,2006,0
0,215000,2.25,2,4,2.0,7,1610,0,1610,1950,2040,2025,0,0,1979,0
0,243500,2.5,4,3,2.0,7,1980,0,1980,1980,7403,7510,0,0,1988,0
0,153000,1.0,3,3,1.0,7,1200,0,1200,1350,10500,10500,0,0,1962,0
0,905000,2.5,4,3,1.0,7,2390,910,3300,1950,10250,6045,0,0,1946,1991
0,247500,1.75,3,3,1.0,7,1960,0,1960,1750,15681,15616,0,0,1967,0
0,199000,1.5,4,4,1.0,7,1160,0,1160,1160,6400,6400,0,0,1975,0
0,1088000,2.5,3,3,2.0,8,2920,0,2920,2370,8113,8113,0,0,1950,2010
0,290000,1.0,3,3,1.0,7,1210,0,1210,1640,33919,14910,0,0,1954,0
0,375000,2.5,3,4,1.0,8,1460,880,2340,2250,10005,8162,0,0,1978,0
0,188500,1.75,2,4,1.0,8,1240,0,1240,1270,2493,4966,0,0,1985,0
0,470000,1.75,5,4,2.0,7,2030,0,2030,2500,12342,9433,0,0,1942,0
0,272500,1.75,3,4,1.0,7,1160,380,1540,1540,12600,11656,0,0,1980,0
0,480000,2.5,4,3,2.0,9,2520,710,3230,2640,16171,8517,3,0,2001,0
0,205425,1.0,2,4,1.0,6,880,0,880,1190,6780,6780,0,0,1945,0
0,171800,2.0,4,3,1.0,6,1570,0,1570,1880,9600,9000,0,0,1950,0
0,445000,1.75,4,5,1.5,7,1720,380,2100,1850,4400,4400,0,0,1924,0
0,1450000,2.75,4,3,1.5,8,1980,770,2750,3060,17789,11275,0,0,1914,1992
0,445000,2.25,3,3,1.0,8,1620,480,2100,2660,8201,8712,2,0,1967,0
0,260000,2.25,4,3,1.0,8,1360,800,2160,2090,8811,8400,0,0,1978,0
0,212000,1.75,3,4,1.0,7,1060,0,1060,1420,7875,7680,0,0,1986,0
0,199000,1.75,3,4,1.0,7,1320,0,1320,1550,17390,19265,0,0,1956,0
0,220000,1.75,4,3,1.0,7,1010,1010,2020,1750,7840,8140,0,0,1968,0
0,527700,2.5,5,4,1.0,8,1550,1270,2820,2820,9375,9375,0,0,1968,0
0,205000,1.0,3,4,1.0,7,1010,600,1610,1610,8579,8579,0,0,1962,0
0,500000,2.25,4,4,1.0,8,1380,650,2030,2230,8517,8824,0,0,1961,0
0,258000,2.0,5,4,1.0,8,1130,1130,2260,1360,12500,18000,0,0,1960,0
1,282950,1.0,3,4,1.0,7,1250,0,1250,1680,8200,8633,0,0,1954,0
0,2250000,3.25,4,3,2.0,12,3540,1640,5180,3160,19850,9750,3,0,2006,0
0,215000,1.0,3,4,1.0,7,1180,0,1180,1190,7669,7669,0,0,1967,0
0,650000,3.5,5,3,2.0,9,2500,1460,3960,2640,25245,13675,0,0,1996,0
0,320000,2.75,4,3,1.0,8,1620,1020,2640,1980,7500,7875,0,0,1967,0
0,320000,1.75,4,4,1.0,8,1760,0,1760,1730,11180,11180,0,0,1968,0
0,807100,2.5,4,3,2.0,9,2680,0,2680,2920,4499,4500,0,0,1999,0
0,272000,1.75,3,4,1.0,7,1670,490,2160,1930,7140,7350,0,0,1978,0
0,917500,2.5,4,3,2.0,10,2570,1310,3880,3740,35003,35230,0,0,1984,0
0,673000,2.25,4,4,2.0,8,2590,0,2590,2260,8190,8335,0,0,1980,0
0,260000,2.5,3,3,2.0,7,1670,0,1670,1670,5797,6183,0,0,1988,0
0,163500,1.5,2,3,2.0,7,1050,0,1050,1050,3419,3417,0,0,1996,0
0,1095000,3.0,5,4,1.0,10,2090,2000,4090,2540,12850,10270,2,0,1986,0
0,269000,1.75,4,4,1.0,8,1100,390,1490,2190,10000,8910,0,0,1969,0
0,560000,2.5,3,3,2.0,8,1900,0,1900,2030,8744,8744,0,0,1987,0
0,585188,2.25,3,3,1.0,8,1430,800,2230,2230,10026,9340,0,0,1975,0
0,166950,1.0,3,3,1.0,6,1190,0,1190,1230,8820,7980,0,0,1959,0
0,799000,2.5,3,4,1.0,8,2140,0,2140,2680,9897,10083,0,0,1959,0
0,256883,2.5,3,3,2.0,8,1690,0,1690,2550,5025,5001,0,0,2003,0
0,210000,1.0,3,4,1.0,6,860,0,860,1300,11725,9514,0,0,1943,0
0,297000,2.5,3,3,2.0,8,1940,0,1940,2030,14952,10450,0,0,1994,0
0,226500,1.5,3,4,1.0,7,900,400,1300,1430,7370,7500,0,0,1976,0
0,274250,1.0,3,4,1.0,6,910,0,910,1400,8450,8040,0,0,1962,0
0,840000,1.75,4,4,1.0,9,1630,850,2480,2770,11010,10744,0,0,1966,0
0,320000,2.25,4,3,2.0,8,1550,0,1550,1630,7579,6397,0,0,1993,0
0,465000,2.5,3,3,2.0,9,2714,0,2714,2590,17936,18386,0,0,2005,0
0,477000,2.75,4,3,2.0,8,1720,0,1720,2130,6270,8700,0,0,1978,0
0,280000,1.0,2,3,1.0,6,850,0,850,1100,16400,14459,0,0,1923,0
0,1505000,3.0,5,3,1.0,9,1870,1430,3300,3836,33474,20953,3,0,1957,1991
0,328000,2.25,3,3,2.0,7,2020,0,2020,2020,8379,8031,0,0,1994,0
0,264950,2.25,4,4,1.0,7,1120,600,1720,1510,9753,9753,0,0,1978,0
0,235000,1.0,3,4,1.0,7,980,450,1430,1960,15246,13068,0,0,1961,0
0,500000,2.75,4,5,1.0,7,2280,0,2280,2280,15347,15347,0,0,1960,0
0,315000,2.75,6,3,1.0,8,1780,1160,2940,2120,7350,8236,0,0,1978,0
0,1025000,4.0,5,3,2.0,10,3760,0,3760,3430,28040,35096,0,0,1983,0
0,472000,2.5,6,4,1.0,9,2350,2060,4410,2600,14034,13988,2,0,1965,0
0,225000,1.75,3,4,1.0,7,1430,0,1430,1190,8505,8640,0,0,1968,0
