list,size
['norm_min_max'],1
"['drop_duplicates', 'drop_duplicates', 'IQR', 'norm_min_max']",4
['IQR'],1
"['norm_log', 'norm_log']",2
"['drop_duplicates', 'bin_equal_frequency_10']",2
['norm_min_max'],1
['drop_duplicates'],1
"['norm_log', 'norm_log', 'norm_log', 'norm_log']",4
"['drop_duplicates', 'drop_duplicates', 'drop_duplicates', 'drop_duplicates', 'drop_duplicates', 'drop_duplicates']",6
"['IQR', 'zscore']",2
['norm_min_max'],1
['norm_min_max'],1
['drop_duplicates'],1
['norm_min_max'],1
"['drop_duplicates', 'drop_duplicates']",2
"['norm_log', 'norm_log', 'drop_duplicates']",3
['drop_duplicates'],1
['norm_min_max'],1
['drop_duplicates'],1
"['drop_duplicates', 'drop_duplicates', 'drop_duplicates', 'norm_min_max']",4
['drop_duplicates'],1
['norm_min_max'],1
['drop_duplicates'],1
"['drop_duplicates', 'drop_duplicates']",2
"['drop_duplicates', 'drop_duplicates']",2
['IQR'],1
['IQR'],1
['zscore'],1
"['norm_min_max', 'norm_min_max']",2
"['drop_duplicates', 'drop_duplicates']",2
['drop_duplicates'],1
"['drop_duplicates', 'IQR']",2
['IQR'],1
['norm_min_max'],1
['IQR'],1
['IQR'],1
"['norm_log', 'norm_log', 'norm_log', 'norm_log', 'norm_log', 'norm_log', 'norm_log', 'norm_log']",8
['drop_duplicates'],1
['drop_duplicates'],1
['drop_duplicates'],1
"['drop_duplicates', 'drop_duplicates', 'drop_duplicates', 'drop_duplicates', 'drop_duplicates']",5
"['drop_duplicates', 'drop_duplicates']",2
['zscore'],1
['IQR'],1
['norm_min_max'],1
"['drop_duplicates', 'drop_duplicates']",2
"['drop_duplicates', 'norm_min_max', 'zscore']",3
['drop_duplicates'],1
['norm_min_max'],1
"['drop_duplicates', 'drop_duplicates', 'drop_duplicates']",3
"['drop_duplicates', 'norm_log']",2
"['zscore', 'zscore', 'zscore', 'zscore', 'zscore', 'zscore']",6
['drop_duplicates'],1
"['drop_duplicates', 'IQR', 'IQR', 'norm_min_max', 'norm_log', 'norm_log', 'norm_log', 'drop_duplicates', 'norm_log']",9
['norm_log'],1
"['bin_equal_width_5', 'bin_equal_width_5', 'bin_equal_width_5']",3
"['drop_duplicates', 'drop_duplicates', 'drop_duplicates']",3
['drop_duplicates'],1
"['IQR', 'drop_duplicates', 'drop_duplicates']",3
['norm_min_max'],1
['norm_min_max'],1
['drop_duplicates'],1
['norm_min_max'],1
"['IQR', 'IQR', 'norm_min_max']",3
['drop_duplicates'],1
['norm_min_max'],1
['drop_duplicates'],1
['norm_min_max'],1
['drop_duplicates'],1
['norm_min_max'],1
['drop_duplicates'],1
['drop_duplicates'],1
['drop_duplicates'],1
"['norm_min_max', 'norm_min_max']",2
['norm_min_max'],1
['norm_min_max'],1
['drop_duplicates'],1
['norm_min_max'],1
['IQR'],1
['drop_duplicates'],1
['norm_min_max'],1
['drop_duplicates'],1
"['norm_min_max', 'norm_min_max']",2
['norm_min_max'],1
"['bin_equal_width_5', 'bin_equal_width_5', 'bin_equal_width_5']",3
"['drop_duplicates', 'drop_duplicates', 'drop_duplicates']",3
['norm_min_max'],1
"['drop_duplicates', 'drop_duplicates']",2
"['IQR', 'IQR', 'IQR', 'IQR', 'IQR', 'IQR']",6
['norm_min_max'],1
['drop_duplicates'],1
"['drop_duplicates', 'drop_duplicates']",2
['zscore'],1
['drop_duplicates'],1
['drop_duplicates'],1
['norm_min_max'],1
['drop_duplicates'],1
"['drop_duplicates', 'zscore']",2
['norm_log'],1
['drop_duplicates'],1
['norm_min_max'],1
['norm_min_max'],1
['norm_min_max'],1
['norm_min_max'],1
"['drop_duplicates', 'norm_min_max']",2
"['drop_duplicates', 'drop_duplicates']",2
"['drop_duplicates', 'drop_duplicates']",2
"['drop_duplicates', 'IQR']",2
"['drop_duplicates', 'norm_min_max']",2
['drop_duplicates'],1
['norm_min_max'],1
['drop_duplicates'],1
['zscore'],1
['norm_min_max'],1
"['drop_duplicates', 'drop_duplicates']",2
['norm_min_max'],1
"['norm_log', 'isolationForest']",2
['drop_duplicates'],1
['drop_duplicates'],1
['drop_duplicates'],1
['norm_min_max'],1
"['drop_duplicates', 'drop_duplicates']",2
['norm_min_max'],1
"['norm_min_max', 'isolationForest', 'isolationForest', 'isolationForest']",4
['norm_log'],1
['drop_duplicates'],1
"['drop_duplicates', 'drop_duplicates']",2
['zscore'],1
['drop_duplicates'],1
['norm_min_max'],1
['drop_duplicates'],1
['norm_min_max'],1
"['norm_log', 'norm_log']",2
['drop_duplicates'],1
['drop_duplicates'],1
['drop_duplicates'],1
['norm_min_max'],1
['norm_log'],1
['drop_duplicates'],1
"['zscore', 'zscore']",2
"['norm_min_max', 'norm_min_max']",2
"['norm_min_max', 'norm_min_max']",2
"['norm_min_max', 'norm_min_max']",2
"['norm_min_max', 'norm_min_max', 'norm_min_max']",3
"['drop_duplicates', 'IQR', 'norm_min_max', 'norm_min_max']",4
['drop_duplicates'],1
"['drop_duplicates', 'drop_duplicates']",2
['bin_equal_frequency_2'],1
['norm_min_max'],1
['drop_duplicates'],1
['drop_duplicates'],1
"['norm_log', 'norm_log']",2
"['norm_log', 'norm_log']",2
['norm_log'],1
['norm_min_max'],1
['drop_duplicates'],1
"['drop_duplicates', 'drop_duplicates', 'drop_duplicates', 'drop_duplicates', 'drop_duplicates', 'drop_duplicates']",6
['drop_duplicates'],1
"['drop_duplicates', 'IQR']",2
['norm_min_max'],1
['norm_min_max'],1
"['drop_duplicates', 'drop_duplicates']",2
['IQR'],1
['drop_duplicates'],1
['norm_min_max'],1
"['zscore', 'norm_min_max', 'norm_min_max', 'norm_min_max']",4
"['norm_min_max', 'norm_min_max', 'norm_min_max']",3
['drop_duplicates'],1
"['drop_duplicates', 'drop_duplicates']",2
"['drop_duplicates', 'drop_duplicates', 'IQR']",3
['isolationForest'],1
['drop_duplicates'],1
['norm_min_max'],1
"['norm_min_max', 'norm_min_max']",2
['drop_duplicates'],1
"['norm_min_max', 'norm_min_max']",2
"['drop_duplicates', 'IQR']",2
"['norm_min_max', 'norm_min_max', 'norm_min_max']",3
"['norm_min_max', 'norm_min_max']",2
['norm_min_max'],1
"['norm_min_max', 'drop_duplicates']",2
['norm_min_max'],1
"['bin_equal_frequency_5', 'bin_equal_frequency_5']",2
['drop_duplicates'],1
"['IQR', 'norm_log']",2
['drop_duplicates'],1
['IQR'],1
['norm_log'],1
['norm_min_max'],1
"['drop_duplicates', 'drop_duplicates']",2
['drop_duplicates'],1
['norm_min_max'],1
['norm_min_max'],1
['IQR'],1
['drop_duplicates'],1
"['IQR', 'IQR', 'IQR']",3
['drop_duplicates'],1
['norm_log'],1
"['norm_min_max', 'norm_min_max']",2
