list,size
"['drop_duplicates', 'drop_duplicates', 'drop_duplicates', 'drop_duplicates', 'drop_duplicates', 'drop_duplicates', 'drop_duplicates']",7
"['drop_duplicates', 'norm_log', 'norm_log', 'norm_log']",4
['norm_log'],1
['drop_duplicates'],1
['drop_duplicates'],1
['norm_min_max'],1
['norm_min_max'],1
"['norm_min_max', 'norm_min_max']",2
"['drop_duplicates', 'IQR', 'norm_min_max']",3
['IQR'],1
['norm_min_max'],1
['norm_min_max'],1
['norm_min_max'],1
['norm_min_max'],1
['norm_min_max'],1
"['norm_log', 'norm_log']",2
['norm_min_max'],1
['norm_min_max'],1
['drop_duplicates'],1
"['drop_duplicates', 'norm_min_max']",2
['norm_log'],1
['drop_duplicates'],1
['norm_log'],1
['bin_equal_width_10'],1
"['norm_log', 'isolationForest']",2
"['norm_min_max', 'norm_min_max', 'norm_min_max']",3
['norm_min_max'],1
['norm_log'],1
['IQR'],1
['norm_log'],1
['drop_duplicates'],1
['norm_min_max'],1
['norm_min_max'],1
"['bin_equal_width_10', 'norm_log']",2
['norm_min_max'],1
['norm_log'],1
"['norm_log', 'norm_log', 'norm_log']",3
['IQR'],1
"['drop_duplicates', 'drop_duplicates', 'drop_duplicates', 'bin_equal_frequency_5', 'bin_equal_frequency_5']",5
['norm_min_max'],1
['norm_min_max'],1
"['IQR', 'IQR']",2
['norm_log'],1
['norm_min_max'],1
['norm_log'],1
"['drop_duplicates', 'drop_duplicates', 'drop_duplicates']",3
['norm_log'],1
['drop_duplicates'],1
['bin_equal_frequency_10'],1
['drop_duplicates'],1
"['norm_min_max', 'norm_min_max']",2
"['IQR', 'norm_min_max']",2
"['IQR', 'norm_min_max', 'IQR', 'norm_min_max']",4
"['drop_duplicates', 'drop_duplicates', 'norm_min_max', 'norm_min_max']",4
['IQR'],1
['norm_min_max'],1
['norm_min_max'],1
"['IQR', 'norm_min_max']",2
['bin_equal_frequency_10'],1
['drop_duplicates'],1
['IQR'],1
['bin_equal_width_2'],1
['norm_min_max'],1
['norm_min_max'],1
"['norm_log', 'drop_duplicates', 'drop_duplicates']",3
['drop_duplicates'],1
"['norm_log', 'norm_log', 'norm_log']",3
['drop_duplicates'],1
"['IQR', 'IQR']",2
"['drop_duplicates', 'drop_duplicates']",2
['norm_min_max'],1
['IQR'],1
"['IQR', 'bin_equal_width_10', 'bin_equal_width_10', 'norm_log', 'norm_log', 'norm_log', 'norm_log']",7
"['IQR', 'norm_min_max']",2
['norm_min_max'],1
['norm_min_max'],1
['norm_min_max'],1
['norm_min_max'],1
"['norm_log', 'norm_min_max']",2
['drop_duplicates'],1
['norm_log'],1
['zscore'],1
"['norm_min_max', 'norm_min_max']",2
['drop_duplicates'],1
"['drop_duplicates', 'drop_duplicates', 'drop_duplicates']",3
"['bin_equal_width_10', 'bin_equal_width_10', 'isolationForest']",3
['zscore'],1
"['drop_duplicates', 'zscore', 'isolationForest']",3
"['norm_min_max', 'norm_min_max', 'zscore', 'norm_min_max']",4
['norm_min_max'],1
['norm_min_max'],1
"['norm_log', 'norm_log', 'norm_log', 'norm_log', 'norm_log', 'norm_log']",6
"['drop_duplicates', 'IQR']",2
"['norm_log', 'norm_log']",2
['norm_min_max'],1
['IQR'],1
['norm_min_max'],1
['drop_duplicates'],1
['norm_min_max'],1
"['drop_duplicates', 'drop_duplicates', 'drop_duplicates']",3
['bin_equal_frequency_5'],1
"['bin_equal_width_10', 'norm_log']",2
"['norm_log', 'norm_log', 'norm_log']",3
"['norm_log', 'norm_log', 'norm_log', 'norm_log', 'norm_log', 'norm_log', 'norm_log']",7
['drop_duplicates'],1
['drop_duplicates'],1
['norm_min_max'],1
['bin_equal_width_5'],1
['drop_duplicates'],1
"['norm_min_max', 'norm_min_max', 'norm_log', 'norm_log', 'norm_log', 'norm_log']",6
"['isolationForest', 'isolationForest']",2
"['norm_min_max', 'norm_log', 'norm_log', 'norm_log', 'norm_log']",5
"['norm_min_max', 'norm_log', 'norm_log']",3
"['norm_min_max', 'norm_log', 'norm_log', 'norm_log', 'norm_log', 'drop_duplicates']",6
"['norm_min_max', 'norm_min_max', 'norm_log', 'norm_log', 'norm_log', 'norm_log']",6
"['norm_min_max', 'norm_min_max', 'norm_log', 'norm_log', 'norm_log', 'norm_log']",6
"['norm_min_max', 'norm_min_max', 'norm_log', 'norm_log', 'norm_log', 'norm_log']",6
"['norm_min_max', 'norm_log', 'norm_log', 'norm_log', 'norm_log']",5
"['norm_min_max', 'norm_min_max', 'norm_log', 'norm_log', 'norm_log', 'norm_log']",6
['norm_min_max'],1
"['norm_min_max', 'norm_min_max', 'norm_log', 'norm_log', 'norm_log', 'norm_log', 'isolationForest']",7
"['norm_min_max', 'norm_min_max', 'norm_min_max']",3
"['norm_min_max', 'norm_log', 'norm_log', 'norm_log', 'norm_log', 'norm_log', 'norm_log']",7
['drop_duplicates'],1
"['drop_duplicates', 'drop_duplicates', 'drop_duplicates']",3
"['IQR', 'IQR', 'norm_min_max']",3
['drop_duplicates'],1
"['norm_min_max', 'norm_min_max']",2
"['norm_min_max', 'norm_min_max']",2
['drop_duplicates'],1
"['drop_duplicates', 'drop_duplicates']",2
"['drop_duplicates', 'drop_duplicates', 'drop_duplicates']",3
"['norm_min_max', 'norm_min_max', 'norm_min_max', 'norm_min_max']",4
"['drop_duplicates', 'drop_duplicates']",2
['norm_min_max'],1
['IQR'],1
['norm_min_max'],1
['IQR'],1
"['drop_duplicates', 'drop_duplicates', 'drop_duplicates', 'drop_duplicates', 'drop_duplicates', 'drop_duplicates', 'drop_duplicates', 'drop_duplicates', 'drop_duplicates', 'drop_duplicates', 'drop_duplicates', 'drop_duplicates']",12
['norm_min_max'],1
['IQR'],1
['IQR'],1
['IQR'],1
['IQR'],1
['IQR'],1
['drop_duplicates'],1
"['drop_duplicates', 'drop_duplicates']",2
['norm_min_max'],1
"['IQR', 'norm_log']",2
"['IQR', 'norm_log']",2
['drop_duplicates'],1
"['norm_min_max', 'norm_min_max']",2
['norm_min_max'],1
"['drop_duplicates', 'drop_duplicates', 'drop_duplicates', 'drop_duplicates']",4
