bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(3.872, 3.874]",3.874340684094417,3.874340684094417,20,"(('bin_equal_width_2', 'x5'), ('bin_equal_width_10', 'x6'), ('winsorize', 'x2'), ('bin_equal_width_5', 'x2'), ('norm_min_max', 'x5'), ('bin_equal_frequency_2', 'x1'), ('bin_equal_width_5', 'x3'), ('bin_equal_width_10', 'x4'), ('winsorize', 'x1'), ('IQR', 'x2'), ('norm_log', 'x4'), ('zscore_filter_3', 'x1'), ('IQR', 'x4'), ('norm_log', 'x6'), ('norm_min_max', 'x3'), ('zscore_filter_3', 'x2'), ('IQR', 'x3'), ('zscore_clip_3', 'x5'), ('zscore_filter_3', 'x6'), ('IQR', 'x6'))",1
"(3.882, 3.885]",3.883078335133267,3.884287680858357,14,"(('bin_equal_frequency_10', 'x6'), ('zscore_clip_3', 'x5'), ('winsorize', 'x1'), ('IQR', 'x5'), ('bin_equal_width_2', 'x3'), ('bin_equal_width_5', 'x1'), ('bin_equal_width_2', 'x5'), ('norm_log', 'x5'), ('winsorize', 'x4'), ('bin_equal_width_5', 'x2'), ('bin_equal_frequency_2', 'x4'), ('zscore_filter_3', 'x3'), ('drop_duplicates', 'TABLE'), ('IQR', 'x4'))",2
"(3.885, 3.888]",3.885504952777759,3.887300446735698,4,"(('bin_equal_frequency_2', 'x4'), ('bin_equal_frequency_10', 'x6'), ('zscore_clip_3', 'x5'), ('IQR', 'x5'))",12
"(3.888, 3.891]",3.8879544351051543,3.8906425433296494,3,"(('zscore_clip_3', 'x5'), ('IQR', 'x2'), ('IQR', 'x5'))",30
"(3.891, 3.893]",3.8907158751783744,3.8933393636282974,3,"(('bin_equal_frequency_2', 'x4'), ('zscore_clip_3', 'x5'), ('IQR', 'x5'))",103
"(3.893, 3.896]",3.8933814765312293,3.895984491160159,3,"(('bin_equal_width_5', 'x1'), ('zscore_clip_3', 'x5'), ('IQR', 'x5'))",148
"(3.896, 3.899]",3.8960947205980307,3.898783287797672,2,"(('zscore_clip_3', 'x5'), ('IQR', 'x5'))",320
"(3.899, 3.902]",3.898807590502372,3.9015121378590294,3,"(('bin_equal_frequency_2', 'x1'), ('zscore_clip_3', 'x5'), ('IQR', 'x5'))",309
"(3.902, 3.904]",3.9015221300556724,3.9041659640109554,3,"(('bin_equal_frequency_2', 'x3'), ('zscore_clip_3', 'x5'), ('IQR', 'x5'))",116
"(3.904, 3.907]",3.9042516987004774,3.9069083338426496,3,"(('bin_equal_frequency_5', 'x6'), ('zscore_clip_3', 'x5'), ('IQR', 'x5'))",152
"(3.907, 3.91]",3.9070323476674096,3.909670266472107,3,"(('bin_equal_frequency_2', 'x4'), ('bin_equal_frequency_10', 'x6'), ('bin_equal_width_2', 'x5'))",264
"(3.91, 3.912]",3.9096810968846487,3.9123865183479962,3,"(('bin_equal_frequency_2', 'x4'), ('bin_equal_frequency_10', 'x6'), ('bin_equal_width_2', 'x3'))",855
"(3.912, 3.915]",3.912392721440222,3.915110213718783,2,"(('bin_equal_frequency_2', 'x4'), ('bin_equal_frequency_10', 'x6'))",2281
"(3.915, 3.918]",3.9151110922005046,3.9178271592939296,2,"(('bin_equal_frequency_2', 'x4'), ('bin_equal_width_2', 'x5'))",4989
"(3.918, 3.921]",3.9178291529918745,3.920546329370035,2,"(('bin_equal_frequency_2', 'x1'), ('bin_equal_width_5', 'x2'))",10142
"(3.921, 3.923]",3.9205474889787304,3.9232644486624224,1,"(('bin_equal_frequency_2', 'x4'),)",19019
"(3.923, 3.926]",3.923265161288718,3.925982419511781,1,"(('bin_equal_width_5', 'x1'),)",27102
"(3.926, 3.929]",3.925982640631453,3.9287003590000014,0,(),35011
"(3.929, 3.931]",3.9287007609088604,3.9314180594582258,1,"(('bin_equal_frequency_2', 'x1'),)",36278
"(3.931, 3.934]",3.931418609511586,3.934136414337633,1,"(('bin_equal_frequency_2', 'x3'),)",28385
"(3.934, 3.937]",3.9341367573920847,3.936853780777599,2,"(('bin_equal_frequency_2', 'x1'), ('bin_equal_frequency_2', 'x2'))",15995
"(3.937, 3.94]",3.9368548329517634,3.939569531544058,2,"(('bin_equal_frequency_2', 'x3'), ('bin_equal_frequency_5', 'x6'))",6821
