bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(-898.869, -887.21]",-887.2104593661879,-887.2104593661879,12,"(('norm_min_max', 'age'), ('norm_min_max', 'education'), ('zscore_filter_3', 'age'), ('IQR', 'education'), ('IQR', 'age'), ('bin_equal_frequency_2', 'education'), ('bin_equal_frequency_2', 'age'), ('drop_duplicates', 'TABLE'), ('zscore_filter_3', 'education'), ('winsorize', 'age'), ('winsorize', 'education'), ('isolationForest', 'TABLE'))",1
"(-852.236, -840.578]",-843.8456035226118,-843.8456035226118,5,"(('zscore_filter_3', 'age'), ('bin_equal_frequency_2', 'age'), ('drop_duplicates', 'TABLE'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'TABLE'))",1
"(-840.578, -828.92]",-839.5961436492416,-839.596143649238,5,"(('bin_equal_frequency_2', 'education'), ('zscore_filter_3', 'age'), ('bin_equal_frequency_2', 'age'), ('drop_duplicates', 'TABLE'), ('isolationForest', 'TABLE'))",5
"(-817.262, -805.604]",-816.1695426578981,-816.1695426578926,4,"(('bin_equal_frequency_2', 'age'), ('drop_duplicates', 'TABLE'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'TABLE'))",9
"(-805.604, -793.946]",-801.1885121465948,-801.1885121465912,5,"(('bin_equal_frequency_2', 'education'), ('IQR', 'age'), ('bin_equal_frequency_2', 'age'), ('drop_duplicates', 'TABLE'), ('isolationForest', 'TABLE'))",5
"(-782.288, -770.63]",-772.1681455798207,-772.1681455798207,5,"(('IQR', 'age'), ('bin_equal_frequency_2', 'age'), ('drop_duplicates', 'TABLE'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'TABLE'))",1
"(-479.178, -467.52]",-470.0113256654786,-470.0113256654786,12,"(('winsorize', 'education'), ('zscore_filter_3', 'education'), ('drop_duplicates', 'TABLE'), ('bin_equal_frequency_2', 'education'), ('bin_equal_frequency_2', 'age'), ('norm_log', 'age'), ('winsorize', 'age'), ('zscore_clip_3', 'age'), ('isolationForest', 'TABLE'), ('IQR', 'education'), ('norm_log', 'education'), ('IQR', 'age'))",1
"(-455.862, -444.203]",-455.8142938077144,-455.8142938077144,5,"(('zscore_filter_3', 'age'), ('drop_duplicates', 'TABLE'), ('bin_equal_frequency_2', 'age'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'TABLE'))",2
"(-385.913, -374.255]",-374.9313340860472,-374.9313340860472,6,"(('bin_equal_frequency_2', 'education'), ('norm_log', 'age'), ('zscore_filter_3', 'age'), ('drop_duplicates', 'TABLE'), ('bin_equal_frequency_2', 'age'), ('isolationForest', 'TABLE'))",1
"(-339.281, -327.623]",-327.97411414578073,-327.97411414578073,6,"(('norm_min_max', 'age'), ('IQR', 'age'), ('bin_equal_frequency_5', 'age'), ('drop_duplicates', 'TABLE'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'TABLE'))",1
"(-257.674, -246.016]",-246.56882174940574,-246.56882174940574,5,"(('zscore_filter_3', 'education'), ('bin_equal_frequency_10', 'age'), ('drop_duplicates', 'TABLE'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'TABLE'))",1
"(-211.042, -199.384]",-206.92141070216803,-206.92141070216803,6,"(('bin_equal_frequency_2', 'education'), ('IQR', 'age'), ('norm_log', 'age'), ('bin_equal_width_2', 'age'), ('isolationForest', 'TABLE'), ('drop_duplicates', 'TABLE'))",2
"(-199.384, -187.726]",-188.78121899157668,-188.78121899157668,12,"(('norm_min_max', 'age'), ('zscore_filter_3', 'age'), ('norm_min_max', 'education'), ('IQR', 'education'), ('drop_duplicates', 'TABLE'), ('bin_equal_frequency_2', 'education'), ('bin_equal_frequency_5', 'age'), ('IQR', 'age'), ('winsorize', 'age'), ('winsorize', 'education'), ('isolationForest', 'TABLE'), ('zscore_filter_3', 'education'))",1
"(-152.752, -141.093]",-148.95907512786562,-143.7420544509714,6,"(('bin_equal_frequency_5', 'education'), ('norm_log', 'education'), ('zscore_filter_3', 'age'), ('bin_equal_frequency_10', 'age'), ('isolationForest', 'TABLE'), ('drop_duplicates', 'TABLE'))",2
"(-71.145, -59.487]",-65.64539311807403,-65.64539311807403,5,"(('IQR', 'education'), ('bin_equal_frequency_5', 'age'), ('drop_duplicates', 'TABLE'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'TABLE'))",1
"(-12.855, -1.197]",-2.9651889068991295,-1.63342000510238,6,"(('bin_equal_frequency_2', 'age'), ('IQR', 'education'), ('norm_log', 'education'), ('drop_duplicates', 'TABLE'), ('bin_equal_width_5', 'education'), ('isolationForest', 'TABLE'))",2
"(10.462, 22.12]",13.390554058325051,20.900725059154865,5,"(('zscore_clip_3', 'age'), ('bin_equal_frequency_10', 'age'), ('drop_duplicates', 'TABLE'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'TABLE'))",2
"(22.12, 33.778]",23.675236901898643,25.04248999333049,6,"(('bin_equal_frequency_2', 'education'), ('norm_log', 'age'), ('zscore_filter_3', 'age'), ('bin_equal_frequency_10', 'age'), ('isolationForest', 'TABLE'), ('drop_duplicates', 'TABLE'))",3
"(33.778, 45.436]",42.28799543668356,42.28799543668356,12,"(('IQR', 'age'), ('norm_log', 'age'), ('bin_equal_width_2', 'age'), ('zscore_clip_3', 'education'), ('bin_equal_frequency_2', 'education'), ('zscore_clip_3', 'age'), ('norm_log', 'education'), ('drop_duplicates', 'TABLE'), ('winsorize', 'age'), ('isolationForest', 'TABLE'), ('winsorize', 'education'), ('IQR', 'education'))",1
"(57.094, 68.752]",60.11260415532797,60.21608665657641,6,"(('bin_equal_frequency_2', 'age'), ('zscore_clip_3', 'education'), ('IQR', 'education'), ('drop_duplicates', 'TABLE'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'TABLE'))",2
"(68.752, 80.41]",80.36456268798338,80.36456268798338,6,"(('bin_equal_frequency_5', 'education'), ('zscore_clip_3', 'age'), ('bin_equal_frequency_5', 'age'), ('norm_log', 'age'), ('isolationForest', 'TABLE'), ('drop_duplicates', 'TABLE'))",1
"(80.41, 92.068]",83.98095214430396,84.70983947878995,5,"(('bin_equal_frequency_2', 'education'), ('norm_log', 'age'), ('zscore_filter_3', 'age'), ('bin_equal_frequency_10', 'age'), ('isolationForest', 'TABLE'))",4
"(92.068, 103.726]",99.02866656256356,101.67668413392312,6,"(('bin_equal_frequency_2', 'age'), ('IQR', 'education'), ('norm_log', 'education'), ('bin_equal_width_5', 'education'), ('drop_duplicates', 'TABLE'), ('isolationForest', 'TABLE'))",4
"(103.726, 115.384]",114.83323359746737,114.83323359746737,12,"(('norm_min_max', 'age'), ('zscore_clip_3', 'age'), ('zscore_clip_3', 'education'), ('IQR', 'age'), ('bin_equal_frequency_5', 'age'), ('isolationForest', 'TABLE'), ('bin_equal_width_2', 'education'), ('drop_duplicates', 'TABLE'), ('IQR', 'education'), ('winsorize', 'age'), ('winsorize', 'education'), ('norm_min_max', 'education'))",1
"(115.384, 127.042]",118.2950575664454,125.54399027417094,5,"(('bin_equal_frequency_5', 'education'), ('zscore_filter_3', 'age'), ('bin_equal_frequency_5', 'age'), ('drop_duplicates', 'TABLE'), ('isolationForest', 'TABLE'))",8
"(127.042, 138.7]",127.46877514371863,137.3684444810733,6,"(('bin_equal_frequency_2', 'age'), ('norm_log', 'education'), ('IQR', 'education'), ('drop_duplicates', 'TABLE'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'TABLE'))",11
"(138.7, 150.358]",140.32580227772405,146.58784587598166,5,"(('norm_min_max', 'age'), ('IQR', 'age'), ('bin_equal_frequency_5', 'age'), ('isolationForest', 'TABLE'), ('drop_duplicates', 'TABLE'))",8
"(150.358, 162.017]",150.4138600133001,160.3625712906569,5,"(('bin_equal_frequency_5', 'education'), ('bin_equal_frequency_10', 'age'), ('norm_log', 'education'), ('isolationForest', 'TABLE'), ('drop_duplicates', 'TABLE'))",22
"(162.017, 173.675]",162.27242923557787,171.72239299957073,5,"(('bin_equal_frequency_5', 'age'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'TABLE'), ('norm_log', 'age'), ('drop_duplicates', 'TABLE'))",8
"(173.675, 185.333]",174.21846213268054,184.01665638719214,4,"(('bin_equal_frequency_5', 'age'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'TABLE'), ('drop_duplicates', 'TABLE'))",23
"(185.333, 196.991]",185.9456622213129,196.09867115756606,5,"(('bin_equal_frequency_5', 'age'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'TABLE'), ('norm_log', 'education'), ('drop_duplicates', 'TABLE'))",7
"(196.991, 208.649]",200.44562404958924,207.31515439552095,5,"(('bin_equal_frequency_2', 'age'), ('zscore_clip_3', 'education'), ('drop_duplicates', 'TABLE'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'TABLE'))",11
"(208.649, 220.307]",209.8128137440981,220.13123203741452,5,"(('bin_equal_frequency_5', 'education'), ('bin_equal_frequency_10', 'age'), ('norm_log', 'age'), ('drop_duplicates', 'TABLE'), ('isolationForest', 'TABLE'))",11
"(220.307, 231.965]",220.533045046177,231.9523910425296,5,"(('bin_equal_frequency_5', 'education'), ('zscore_filter_3', 'age'), ('bin_equal_frequency_10', 'age'), ('isolationForest', 'TABLE'), ('drop_duplicates', 'TABLE'))",15
"(231.965, 243.623]",233.00932238850692,242.59088866246384,5,"(('bin_equal_frequency_5', 'age'), ('zscore_clip_3', 'education'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'TABLE'), ('drop_duplicates', 'TABLE'))",22
"(243.623, 255.281]",244.11552731633128,255.2319448684466,4,"(('bin_equal_frequency_10', 'age'), ('drop_duplicates', 'TABLE'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'TABLE'))",32
"(255.281, 266.939]",255.46079259287308,266.7558776800106,4,"(('bin_equal_frequency_5', 'age'), ('drop_duplicates', 'TABLE'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'TABLE'))",37
"(266.939, 278.597]",267.0740197664918,277.0074455048598,4,"(('bin_equal_frequency_5', 'age'), ('drop_duplicates', 'TABLE'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'TABLE'))",34
"(278.597, 290.255]",278.6272998848108,290.24426506957207,4,"(('bin_equal_frequency_10', 'age'), ('drop_duplicates', 'TABLE'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'TABLE'))",36
"(290.255, 301.913]",290.9726336312524,301.63666159700006,5,"(('bin_equal_frequency_2', 'age'), ('IQR', 'education'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'TABLE'), ('drop_duplicates', 'TABLE'))",30
"(301.913, 313.572]",301.9807255047617,313.47672050558594,4,"(('bin_equal_frequency_2', 'age'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'TABLE'), ('drop_duplicates', 'TABLE'))",42
"(313.572, 325.23]",314.08957587707937,324.98974386944064,4,"(('bin_equal_frequency_2', 'education'), ('bin_equal_frequency_5', 'age'), ('drop_duplicates', 'TABLE'), ('isolationForest', 'TABLE'))",42
"(325.23, 336.888]",326.1497949871373,335.59518968417524,5,"(('norm_log', 'age'), ('bin_equal_width_10', 'age'), ('drop_duplicates', 'TABLE'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'TABLE'))",25
"(336.888, 348.546]",337.3136569700546,348.3387372054094,4,"(('bin_equal_frequency_2', 'age'), ('drop_duplicates', 'TABLE'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'TABLE'))",51
"(348.546, 360.204]",348.6858065796532,359.4595579842289,5,"(('bin_equal_frequency_2', 'age'), ('IQR', 'education'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'TABLE'), ('drop_duplicates', 'TABLE'))",32
"(360.204, 371.862]",361.1227535587477,371.82412814726285,5,"(('bin_equal_frequency_2', 'age'), ('IQR', 'education'), ('drop_duplicates', 'TABLE'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'TABLE'))",55
"(371.862, 383.52]",372.0493250155141,383.00738084785644,5,"(('bin_equal_frequency_2', 'age'), ('zscore_filter_3', 'education'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'TABLE'), ('drop_duplicates', 'TABLE'))",60
"(383.52, 395.178]",383.7655080139093,394.79428058524627,4,"(('zscore_clip_3', 'age'), ('bin_equal_frequency_5', 'age'), ('isolationForest', 'TABLE'), ('drop_duplicates', 'TABLE'))",50
"(395.178, 406.836]",395.2585995657205,406.71540622908515,4,"(('bin_equal_frequency_2', 'age'), ('drop_duplicates', 'TABLE'), ('bin_equal_width_2', 'education'), ('isolationForest', 'TABLE'))",68
"(406.836, 418.494]",406.939173677556,418.0137280650233,4,"(('bin_equal_frequency_5', 'age'), ('norm_log', 'education'), ('isolationForest', 'TABLE'), ('drop_duplicates', 'TABLE'))",93
"(418.494, 430.152]",418.5111829493808,430.0421572112082,4,"(('bin_equal_frequency_5', 'age'), ('zscore_clip_3', 'education'), ('isolationForest', 'TABLE'), ('drop_duplicates', 'TABLE'))",78
"(430.152, 441.81]",430.36223760921257,441.73506803162127,4,"(('bin_equal_frequency_10', 'age'), ('bin_equal_width_2', 'education'), ('isolationForest', 'TABLE'), ('drop_duplicates', 'TABLE'))",68
"(441.81, 453.469]",442.2393874713007,453.36929538655295,4,"(('bin_equal_frequency_5', 'age'), ('isolationForest', 'TABLE'), ('drop_duplicates', 'TABLE'), ('bin_equal_frequency_2', 'education'))",43
"(453.469, 465.127]",454.29581460291774,464.6326918940231,5,"(('bin_equal_frequency_2', 'age'), ('zscore_filter_3', 'education'), ('bin_equal_frequency_5', 'education'), ('drop_duplicates', 'TABLE'), ('isolationForest', 'TABLE'))",73
