bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(-0.0076, -0.00754]",-0.007538460739715185,-0.007538460739715185,17,"(('fill_all_median_mode', 'TABLE'), ('norm_min_max', 'adequacy'), ('zscore_filter_3', 'dlivord_min'), ('bin_equal_width_5', 'nprevistq'), ('norm_min_max', 'feduc6'), ('IQR', 'dlivord_min'), ('bin_equal_width_5', 'mpre5'), ('zscore_filter_3', 'nprevistq'), ('winsorize', 'adequacy'), ('bin_equal_frequency_2', 'bord'), ('bin_equal_frequency_10', 'drink5'), ('zscore_clip_3', 'feduc6'), ('bin_equal_frequency_5', 'dlivord_min'), ('bin_equal_width_5', 'mager8'), ('IQR', 'mager8'), ('IQR', 'data_year'), ('norm_log', 'cigar6'))",1
"(-0.00742, -0.00737]",-0.0073969831094271195,-0.0073969831094271195,23,"(('fill_all_mean_mode', 'TABLE'), ('winsorize', 'dlivord_min'), ('zscore_filter_3', 'feduc6'), ('zscore_clip_3', 'drink5'), ('bin_equal_width_2', 'bord'), ('IQR', 'dtotord_min'), ('zscore_clip_3', 'dtotord_min'), ('bin_equal_width_5', 'nprevistq'), ('bin_equal_width_10', 'gestat10'), ('bin_equal_frequency_10', 'feduc6'), ('bin_equal_width_10', 'cigar6'), ('bin_equal_frequency_5', 'dtotord_min'), ('zscore_filter_3', 'dlivord_min'), ('bin_equal_frequency_5', 'drink5'), ('norm_min_max', 'dlivord_min'), ('norm_log', 'feduc6'), ('bin_equal_width_10', 'dlivord_min'), ('IQR', 'nprevistq'), ('bin_equal_width_10', 'mager8'), ('winsorize', 'dtotord_min'), ('winsorize', 'data_year'), ('bin_equal_width_5', 'adequacy'), ('IQR', 'mpre5'))",1
"(-0.00737, -0.00731]",-0.007364631397523962,-0.007326775494868831,3,"(('fill_all_mean_mode', 'TABLE'), ('bin_equal_frequency_2', 'bord'), ('zscore_filter_3', 'dlivord_min'))",15
"(-0.00731, -0.00725]",-0.0073074034942765195,-0.007274349616330618,3,"(('fill_all_mean_mode', 'TABLE'), ('bin_equal_frequency_2', 'bord'), ('zscore_filter_3', 'dtotord_min'))",17
"(-0.00725, -0.0072]",-0.007248278557418539,-0.007195802493624379,2,"(('fill_all_mean_mode', 'TABLE'), ('zscore_filter_3', 'dlivord_min'))",406
"(-0.0072, -0.00714]",-0.007195045029973264,-0.007139022087338118,2,"(('fill_all_mean_mode', 'TABLE'), ('bin_equal_frequency_2', 'bord'))",435
"(-0.00714, -0.00708]",-0.007134092867296691,-0.007081326380714001,2,"(('fill_all_mean_mode', 'TABLE'), ('IQR', 'dlivord_min'))",257
"(-0.00708, -0.00702]",-0.007079957630207731,-0.007025229866834536,1,"(('fill_all_mean_mode', 'TABLE'),)",6448
"(-0.00702, -0.00697]",-0.007022275586081962,-0.006967152792500323,2,"(('fill_all_mean_mode', 'TABLE'), ('zscore_filter_3', 'gestat10'))",452
"(-0.00697, -0.00691]",-0.006961601673886805,-0.006909444350567284,2,"(('fill_all_mean_mode', 'TABLE'), ('IQR', 'meduc6'))",452
"(-0.00691, -0.00685]",-0.006906991425236254,-0.006854239858997049,3,"(('fill_all_mean_mode', 'TABLE'), ('bin_equal_frequency_2', 'gestat10'), ('isolationForest', 'TABLE'))",51
"(-0.00685, -0.00679]",-0.0068510722450013314,-0.006795740121461221,2,"(('fill_all_mean_mode', 'TABLE'), ('isolationForest', 'TABLE'))",163
"(-0.00679, -0.00674]",-0.006794458479692067,-0.006743478616048931,2,"(('fill_all_mean_mode', 'TABLE'), ('zscore_filter_3', 'cigar6'))",266
"(-0.00674, -0.00668]",-0.006736740546609828,-0.006680667210833647,2,"(('fill_all_mean_mode', 'TABLE'), ('zscore_filter_3', 'mpre5'))",338
"(-0.00668, -0.00662]",-0.006679422871942679,-0.006624936631247268,3,"(('fill_all_mean_mode', 'TABLE'), ('bin_equal_width_2', 'drink5'), ('isolationForest', 'TABLE'))",57
"(-0.00662, -0.00657]",-0.006620352989637205,-0.006566743747750032,3,"(('fill_all_mean_mode', 'TABLE'), ('zscore_clip_3', 'dtotord_min'), ('isolationForest', 'TABLE'))",27
"(-0.00657, -0.00651]",-0.0065657309898572505,-0.006510787278863641,3,"(('fill_drop_na', 'TABLE'), ('zscore_filter_3', 'dtotord_min'), ('IQR', 'dlivord_min'))",18
"(-0.00651, -0.00645]",-0.006504930377302275,-0.00646869090023244,2,"(('fill_drop_na', 'TABLE'), ('zscore_filter_3', 'dtotord_min'))",185
"(-0.00645, -0.00639]",-0.006450733195376417,-0.006401152567421804,2,"(('fill_drop_na', 'TABLE'), ('zscore_filter_3', 'dlivord_min'))",186
"(-0.00639, -0.00634]",-0.006390825976059361,-0.006339627571445242,1,"(('fill_drop_na', 'TABLE'),)",2664
