bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(11167.112, 11338.453]",11338.452677012887,11338.452677012887,19,"(('bin_equal_frequency_10', 'sqft_living'), ('IQR', 'bedrooms'), ('winsorize', 'sqft_lot'), ('bin_equal_width_5', 'sqft_basement'), ('bin_equal_frequency_5', 'grade'), ('bin_equal_width_5', 'condition'), ('bin_equal_frequency_2', 'view'), ('zscore_filter_3', 'view'), ('bin_equal_frequency_2', 'yr_built'), ('bin_equal_frequency_2', 'sqft_living15'), ('winsorize', 'sqft_above'), ('winsorize', 'sqft_living'), ('isolationForest', 'TABLE'), ('bin_equal_width_2', 'sqft_lot'), ('bin_equal_frequency_2', 'yr_renovated'), ('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_width_2', 'floors'), ('winsorize', 'bathrooms'), ('norm_min_max', 'sqft_living'))",1
"(18192.089, 18363.43]",18194.92001052387,18338.58687488336,17,"(('bin_equal_frequency_2', 'sqft_lot15'), ('IQR', 'grade'), ('bin_equal_width_10', 'bathrooms'), ('zscore_filter_3', 'bathrooms'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_living15'), ('bin_equal_frequency_5', 'yr_renovated'), ('bin_equal_width_2', 'sqft_above'), ('zscore_filter_3', 'view'), ('bin_equal_width_5', 'sqft_lot'), ('bin_equal_width_5', 'grade'), ('norm_min_max', 'grade'), ('bin_equal_frequency_2', 'yr_built'), ('norm_min_max', 'sqft_living'), ('winsorize', 'sqft_living15'), ('bin_equal_width_5', 'sqft_basement'), ('norm_min_max', 'bedrooms'))",3
"(18534.771, 18706.112]",18614.39700258989,18614.39700258989,27,"(('bin_equal_width_5', 'sqft_living15'), ('norm_log', 'sqft_lot15'), ('IQR', 'sqft_lot'), ('IQR', 'bathrooms'), ('zscore_clip_3', 'floors'), ('bin_equal_frequency_5', 'grade'), ('bin_equal_frequency_2', 'sqft_living'), ('norm_min_max', 'grade'), ('bin_equal_frequency_5', 'yr_built'), ('norm_min_max', 'sqft_lot'), ('zscore_clip_3', 'sqft_living15'), ('zscore_clip_3', 'yr_built'), ('bin_equal_frequency_5', 'sqft_lot'), ('bin_equal_width_2', 'bedrooms'), ('bin_equal_frequency_10', 'yr_renovated'), ('bin_equal_frequency_2', 'sqft_above'), ('bin_equal_frequency_5', 'sqft_lot15'), ('winsorize', 'sqft_living15'), ('winsorize', 'yr_renovated'), ('bin_equal_frequency_2', 'sqft_basement'), ('bin_equal_width_10', 'floors'), ('bin_equal_frequency_5', 'condition'), ('norm_log', 'condition'), ('IQR', 'sqft_basement'), ('zscore_clip_3', 'view'), ('IQR', 'floors'), ('winsorize', 'view'))",1
"(19220.134, 19391.475]",19347.36109492369,19347.36109492369,19,"(('bin_equal_width_5', 'sqft_above'), ('norm_log', 'bathrooms'), ('winsorize', 'grade'), ('bin_equal_width_5', 'bathrooms'), ('bin_equal_frequency_5', 'condition'), ('norm_log', 'sqft_living'), ('norm_log', 'yr_renovated'), ('IQR', 'floors'), ('bin_equal_width_10', 'yr_renovated'), ('winsorize', 'sqft_living'), ('bin_equal_frequency_5', 'yr_built'), ('bin_equal_width_5', 'sqft_living15'), ('bin_equal_width_5', 'view'), ('bin_equal_width_10', 'floors'), ('bin_equal_frequency_2', 'sqft_lot15'), ('zscore_clip_3', 'sqft_living'), ('norm_log', 'sqft_lot'), ('bin_equal_width_10', 'sqft_living'), ('norm_min_max', 'view'))",1
"(19562.816, 19734.157]",19599.314834684134,19599.314834684134,26,"(('bin_equal_width_2', 'sqft_living'), ('IQR', 'bedrooms'), ('bin_equal_frequency_2', 'sqft_living15'), ('zscore_clip_3', 'floors'), ('bin_equal_width_5', 'view'), ('bin_equal_width_5', 'bedrooms'), ('bin_equal_frequency_5', 'condition'), ('zscore_filter_3', 'yr_renovated'), ('bin_equal_width_10', 'grade'), ('zscore_filter_3', 'sqft_living'), ('norm_min_max', 'sqft_living'), ('zscore_filter_3', 'sqft_lot'), ('bin_equal_frequency_5', 'floors'), ('bin_equal_frequency_2', 'sqft_above'), ('norm_min_max', 'sqft_basement'), ('zscore_clip_3', 'sqft_lot15'), ('norm_min_max', 'yr_renovated'), ('bin_equal_frequency_10', 'bathrooms'), ('zscore_clip_3', 'sqft_basement'), ('bin_equal_frequency_2', 'sqft_lot15'), ('norm_min_max', 'sqft_lot15'), ('norm_log', 'bathrooms'), ('IQR', 'sqft_lot15'), ('norm_log', 'sqft_lot'), ('zscore_clip_3', 'sqft_living15'), ('isolationForest', 'TABLE'))",1
"(19734.157, 19905.498]",19823.577428099874,19823.577428099874,23,"(('bin_equal_frequency_2', 'sqft_living15'), ('norm_log', 'condition'), ('norm_log', 'sqft_lot15'), ('bin_equal_width_10', 'bedrooms'), ('norm_log', 'sqft_lot'), ('zscore_clip_3', 'sqft_lot'), ('zscore_clip_3', 'sqft_basement'), ('zscore_filter_3', 'view'), ('bin_equal_width_5', 'view'), ('bin_equal_width_2', 'sqft_lot'), ('zscore_clip_3', 'bedrooms'), ('norm_log', 'floors'), ('bin_equal_width_2', 'sqft_above'), ('zscore_clip_3', 'condition'), ('bin_equal_frequency_2', 'yr_renovated'), ('winsorize', 'sqft_lot'), ('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_width_5', 'bathrooms'), ('bin_equal_frequency_10', 'yr_built'), ('IQR', 'bedrooms'), ('zscore_filter_3', 'sqft_living'), ('zscore_filter_3', 'sqft_above'), ('IQR', 'sqft_basement'))",1
"(20076.839, 20248.18]",20085.560542926192,20085.560542926192,18,"(('bin_equal_width_2', 'floors'), ('IQR', 'sqft_lot'), ('norm_log', 'sqft_lot'), ('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_width_10', 'bedrooms'), ('bin_equal_frequency_5', 'sqft_living'), ('bin_equal_width_5', 'sqft_living15'), ('norm_log', 'yr_built'), ('zscore_filter_3', 'sqft_basement'), ('norm_min_max', 'sqft_lot15'), ('zscore_clip_3', 'yr_built'), ('zscore_clip_3', 'bathrooms'), ('bin_equal_width_10', 'grade'), ('zscore_filter_3', 'view'), ('IQR', 'yr_renovated'), ('IQR', 'bedrooms'), ('zscore_clip_3', 'sqft_living'), ('norm_log', 'sqft_living15'))",1
"(20933.543, 21104.884]",20945.150614385027,20945.150614385027,26,"(('bin_equal_frequency_10', 'sqft_living'), ('IQR', 'sqft_lot'), ('zscore_filter_3', 'bedrooms'), ('bin_equal_frequency_5', 'sqft_lot'), ('norm_log', 'sqft_lot15'), ('bin_equal_width_10', 'bedrooms'), ('IQR', 'yr_built'), ('bin_equal_frequency_5', 'sqft_basement'), ('zscore_clip_3', 'yr_renovated'), ('bin_equal_frequency_5', 'view'), ('bin_equal_width_5', 'yr_built'), ('IQR', 'view'), ('norm_min_max', 'condition'), ('bin_equal_frequency_10', 'condition'), ('bin_equal_frequency_2', 'sqft_lot15'), ('winsorize', 'bathrooms'), ('bin_equal_width_10', 'grade'), ('zscore_clip_3', 'condition'), ('bin_equal_frequency_10', 'bathrooms'), ('bin_equal_frequency_5', 'yr_renovated'), ('zscore_filter_3', 'sqft_lot'), ('winsorize', 'sqft_above'), ('zscore_clip_3', 'yr_built'), ('norm_log', 'sqft_living'), ('IQR', 'sqft_lot15'), ('zscore_filter_3', 'sqft_living15'))",1
"(21618.907, 21790.248]",21679.23919890524,21679.23919890524,13,"(('bin_equal_frequency_10', 'sqft_living'), ('norm_log', 'sqft_lot'), ('zscore_filter_3', 'floors'), ('bin_equal_frequency_10', 'sqft_lot15'), ('bin_equal_frequency_10', 'yr_renovated'), ('bin_equal_frequency_10', 'sqft_basement'), ('bin_equal_frequency_5', 'sqft_living15'), ('bin_equal_width_10', 'sqft_lot'), ('norm_min_max', 'sqft_above'), ('bin_equal_width_5', 'floors'), ('bin_equal_frequency_5', 'yr_built'), ('bin_equal_frequency_5', 'condition'), ('drop_duplicates', 'TABLE'))",1
"(22132.93, 22304.271]",22190.088323714153,22190.088323714153,3,"(('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_2', 'yr_built'), ('bin_equal_frequency_10', 'sqft_living'))",1
