Store_Name,Address,City_and_State,Zipcode,Phone_Number,full_address,location,latitude,longitude
Supercenter #2037,909 E Wishkah St,"Aberdeen, WA",98520,360-532-7595,"909 E Wishkah St, Aberdeen, WA 98520","Walmart Supercenter, 909, East Wishkah Street, South Aberdeen, Aberdeen, Grays Harbor County, Washington, 98520, United States",46.9753493,-123.8068414
Supercenter #3757,4010 172nd St Ne,"Arlington, WA",98223,360-386-4608,"4010 172nd St Ne, Arlington, WA 98223","Walmart Supercenter, 4010, 172nd Street Northeast, Totem Park, Arlington, Snohomish County, Washington, 98223, United States",48.1505525,-122.1753263
Supercenter #2385,762 Outlet Collection Way,"Auburn, WA",98001,253-735-1855,"762 Outlet Collection Way, Auburn, WA 98001","Walmart Supercenter, 762, Outlet Collection Way, Downtown, Auburn, King County, Washington, 98001, United States",47.3013905,-122.2409202
Supercenter #5929,1201 Sw 13th Avenue,"Battle Ground, WA",98604,360-723-9004,"1201 Sw 13th Avenue, Battle Ground, WA 98604","Walmart Supercenter, 1201, Southwest 13th Avenue, Millcreek Town Center, Battle Ground, Clark County, Washington, 98604, United States",45.7724712,-122.5494437
Store #2450,4420 Meridian St,"Bellingham, WA",98226,360-647-1400,"4420 Meridian St, Bellingham, WA 98226","Walmart, 4420, Meridian Street, Bellingham, Whatcom County, Washington, 98226, United States",48.801543,-122.4821631
Supercenter #5041,19205 State Route 410 E,"Bonney Lake, WA",98391,253-826-9144,"19205 State Route 410 E, Bonney Lake, WA 98391","Walmart Supercenter, 19205, Elhi Hill Road, Cedar View, Bonney Lake, Pierce County, Washington, 98391, United States",47.1676209,-122.1717922
Store #2317,6797 State Highway 303 Ne,"Bremerton, WA",98311,360-698-2889,"6797 State Highway 303 Ne, Bremerton, WA 98311","Walmart, 6797, State Highway 303 Northeast, Meadowdale, Bremerton, Kitsap County, Washington, 98311, United States",47.6250265,-122.6327313
Supercenter #2249,1601 Nw Louisiana Ave,"Chehalis, WA",98532,360-748-1240,"1601 Nw Louisiana Ave, Chehalis, WA 98532","Walmart Supercenter, 1601, Northwest Louisiana Avenue, Chehalis, Lewis County, Washington, 98532, United States",46.6789195,-122.9790351
Supercenter #3754,108 Apple Blossom Dr,"Chelan, WA",98816,509-682-4291,"108 Apple Blossom Dr, Chelan, WA 98816","South Apple Blossom Drive, Chelan, Chelan County, Washington, 98817, United States",47.8370005,-119.9885313
Store #5073,17432 Se 270th Pl,"Covington, WA",98042,253-630-7791,"17432 Se 270th Pl, Covington, WA 98042","Walmart, 17432, Southeast 270th Place, Covington, King County, Washington, 98042, United States",47.3611343,-122.1083534
Supercenter #3260,1399 Nat Washington Way,"Ephrata, WA",98823,509-754-8837,"1399 Nat Washington Way, Ephrata, WA 98823","Walmart Supercenter, 1399, Nat Washington Way, Ephrata, Grant County, Washington, 98823, United States",47.3045703,-119.5405618
Supercenter #3537,7001 Bridgeport Way W,"Lakewood, WA",98499,253-512-0949,"7001 Bridgeport Way W, Lakewood, WA 98499","Walmart Supercenter, 7001, Bridgeport Way West, Lakewood, Pierce County, Washington, 98499, United States",47.1939479,-122.5169592
Supercenter #5628,19191 N Kelsey St,"Monroe, WA",98272,360-365-4033,"19191 N Kelsey St, Monroe, WA 98272","Walmart Supercenter, 19191, North Kelsey Street, Monroe, Snohomish County, Washington, 98272, United States",47.8657105,-121.9722344
Supercenter #2007,1005 N Stratford Rd,"Moses Lake, WA",98837,509-765-8979,"1005 N Stratford Rd, Moses Lake, WA 98837","Walmart Supercenter, 1005, North Stratford Road, Penn Plaza, Moses Lake, Grant County, Washington, 98837, United States",47.1412248,-119.2742271
Supercenter #2596,2301 Freeway Dr,"Mount Vernon, WA",98273,360-428-7000,"2301 Freeway Dr, Mount Vernon, WA 98273","Walmart Supercenter, 2301, Freeway Drive, Mount Vernon, Skagit County, Washington, 98273, United States",48.4416722,-122.3462426
Store #2319,1250 Sw Erie St,"Oak Harbor, WA",98277,360-279-0665,"1250 Sw Erie St, Oak Harbor, WA 98277","Walmart, 1250, Southwest Erie Street, Oak Harbor, Island County, Washington, 98277, United States",48.2888685,-122.6621185
Supercenter #1947,902 Engh Rd,"Omak, WA",98841,509-826-6002,"902 Engh Rd, Omak, WA 98841","Walmart Supercenter, 902, Engh Road, Omak, Okanogan County, Washington, 98841, United States",48.4140313,-119.5078896
